Date,PR,GHI
30-07-2020,76.33637825,5.928366667
31-07-2020,81.89387409,2.833108333
01-08-2020,60.48325108,4.023816667
02-08-2020,75.23499646,3.128775
03-08-2020,68.36815611,3.270375
04-08-2020,66.82187004,3.911008333
05-08-2020,78.12217834,4.348208333
06-08-2020,83.73038692,4.216683333
07-08-2020,83.80450831,4.42375
08-08-2020,67.59783611,4.228008333
09-08-2020,66.90940439,3.826891667
10-08-2020,70.68643663,4.77865
11-08-2020,80.91626741,5.032291667
12-08-2020,63.18027054,2.374025
13-08-2020,70.54251848,3.296125
14-08-2020,62.43740341,5.338333333
15-08-2020,68.05950151,6.542925
16-08-2020,64.51231562,6.588108333
17-08-2020,83.38144698,5.805491667
18-08-2020,83.27885928,4.6093
19-08-2020,70.80370196,4.504258333
20-08-2020,72.01206975,4.920458333
21-08-2020,60.02388617,5.852966667
22-08-2020,65.39352233,5.7299
23-08-2020,81.24745954,5.770433333
24-08-2020,82.81310078,6.372925
25-08-2020,67.76977824,6.375016667
26-08-2020,63.01606436,5.904958333
27-08-2020,73.65052644,6.356391667
28-08-2020,81.09543452,6.098608333
29-08-2020,64.68213301,6.4524
30-08-2020,76.03943489,4.734875
31-08-2020,82.64278301,6.173716667
01-09-2020,77.2688698,3.607716667
02-09-2020,80.25530527,5.848
03-09-2020,79.11494783,5.022025
04-09-2020,64.27829856,6.7933
05-09-2020,79.50033226,5.315975
06-09-2020,75.98413614,5.303933333
07-09-2020,65.23346652,6.947316667
08-09-2020,83.00012978,5.245983333
09-09-2020,70.81294717,3.982816667
10-09-2020,65.33308202,4.208775
11-09-2020,74.15784385,6.204075
12-09-2020,63.67723912,4.825333333
13-09-2020,77.09746893,3.430558333
14-09-2020,66.50726911,3.86695
15-09-2020,62.09406595,5.83625
16-09-2020,66.69350044,5.193391667
17-09-2020,65.98626146,4.751516667
18-09-2020,65.81474179,3.082125
19-09-2020,71.86334764,1.961641667
20-09-2020,76.09235854,5.438716667
21-09-2020,70.73095945,5.726066667
22-09-2020,72.61577295,5.455016667
23-09-2020,77.03613837,5.434108333
24-09-2020,80.76889776,6.261908333
25-09-2020,80.78640954,3.901775
26-09-2020,71.77520677,3.824825
27-09-2020,70.39030075,3.45985
28-09-2020,60.58774693,3.970241667
29-09-2020,62.84506203,4.564616667
30-09-2020,83.18899003,5.392108333
01-10-2020,62.73674669,4.0125
02-10-2020,73.71892061,2.411141667
03-10-2020,72.4401401,5.345891667
04-10-2020,76.93894479,4.904075
05-10-2020,60.24167536,3.05
06-10-2020,80.87436482,3.399941667
07-10-2020,84.47100223,1.767241667
08-10-2020,84.98011969,4.223466667
09-10-2020,63.67023399,1.825283333
10-10-2020,80.63019308,2.645533333
11-10-2020,75.48120255,2.573858333
12-10-2020,74.21314908,4.169058333
13-10-2020,84.9617997,4.326308333
14-10-2020,67.80043625,2.54325
15-10-2020,69.25622925,2.999
16-10-2020,70.50378529,2.124833333
17-10-2020,69.40774697,2.839691667
18-10-2020,74.01298316,2.898758333
19-10-2020,70.06526772,4.856016667
20-10-2020,63.29134117,4.438566667
21-10-2020,83.25306691,3.001575
22-10-2020,82.907448,5.948458333
23-10-2020,60.71307876,5.029258333
24-10-2020,62.309339,5.099741667
25-10-2020,77.38291574,2.715316667
26-10-2020,78.27408102,5.14175
27-10-2020,69.67418695,3.935491667
28-10-2020,80.49438618,2.206325
29-10-2020,84.92437313,3.794083333
30-10-2020,81.17184293,4.33635
31-10-2020,77.81053225,3.985316667
01-11-2020,66.21683521,4.631875
02-11-2020,82.55276598,3.199641667
03-11-2020,84.68920224,5.397516667
04-11-2020,75.06431608,3.881266667
05-11-2020,74.90404968,5.158883333
06-11-2020,62.56887417,2.401275
07-11-2020,70.66678186,4.188108333
08-11-2020,62.12552221,4.948775
09-11-2020,75.87799173,3.40385
10-11-2020,70.46339039,3.473483333
11-11-2020,81.40364062,3.210316667
12-11-2020,60.88355471,4.436241667
13-11-2020,69.39930931,4.856416667
14-11-2020,73.55679318,5.4906
15-11-2020,84.10658453,4.450458333
16-11-2020,74.71188286,4.598091667
17-11-2020,64.97284081,5.437575
18-11-2020,69.81664739,3.887516667
19-11-2020,62.28045255,3.99265
20-11-2020,79.63375104,4.206191667
21-11-2020,64.55297305,3.515766667
22-11-2020,61.82516432,4.502883333
23-11-2020,62.58018588,3.430041667
24-11-2020,61.50498092,4.42425
25-11-2020,80.42356437,4.824158333
26-11-2020,62.05539273,4.384575
27-11-2020,80.88446781,4.1413
28-11-2020,75.32861428,4.05465
29-11-2020,63.04094468,2.462508333
30-11-2020,62.19627712,3.986191667
01-12-2020,68.55667082,3.422875
02-12-2020,66.13656954,4.100191667
03-12-2020,76.05161584,5.60325
04-12-2020,72.24697723,5.626008333
05-12-2020,77.03525004,5.074833333
06-12-2020,70.84967242,5.420141667
07-12-2020,82.58404325,3.066733333
08-12-2020,79.51818541,4.480466667
09-12-2020,74.40351479,3.3859
10-12-2020,81.67746184,3.428716667
11-12-2020,75.57106335,2.8102
12-12-2020,82.09009491,3.284166667
13-12-2020,75.25616007,2.810166667
14-12-2020,71.20318243,4.296166667
15-12-2020,67.29291394,4.15135
16-12-2020,79.91800065,4.663783333
17-12-2020,80.04062009,4.445075
18-12-2020,76.00328045,3.599541667
19-12-2020,78.98540616,3.687291667
20-12-2020,77.73573139,3.353266667
21-12-2020,72.06306798,4.921075
22-12-2020,64.03572444,2.876825
23-12-2020,82.28081061,3.4587
24-12-2020,83.62682548,4.203441667
25-12-2020,62.18401975,4.012741667
26-12-2020,80.77043024,4.949166667
27-12-2020,66.81759374,4.482958333
28-12-2020,60.11023343,4.528641667
29-12-2020,64.9488999,4.800583333
30-12-2020,77.60357917,2.427341667
31-12-2020,63.36967939,3.629525
01-01-2021,83.66641687,4.504841667
02-01-2021,61.51536333,4.159225
03-01-2021,84.49778453,3.478141667
04-01-2021,78.41415728,3.205775
05-01-2021,80.18236383,5.045083333
06-01-2021,84.90721676,4.277683333
07-01-2021,75.79212097,2.390758333
08-01-2021,64.43049471,4.068308333
09-01-2021,61.68552125,5.202675
10-01-2021,64.24337066,4.364241667
11-01-2021,73.86084303,4.697391667
12-01-2021,60.14697289,5.241525
13-01-2021,82.0148182,5.940891667
14-01-2021,82.79713506,5.53465
15-01-2021,72.91756073,5.472708333
16-01-2021,69.19325224,6.008566667
17-01-2021,81.63869705,5.999541667
18-01-2021,65.7849578,5.196675
19-01-2021,64.93065695,5.446766667
20-01-2021,61.89388664,4.6578
21-01-2021,63.66000166,5.31395
22-01-2021,60.2873887,4.556158333
23-01-2021,75.26188888,3.493283333
24-01-2021,66.90631035,4.582141667
25-01-2021,64.09811909,5.4687
26-01-2021,66.81909322,4.935983333
27-01-2021,63.86066734,4.19625
28-01-2021,69.44407808,5.165466667
29-01-2021,72.42513773,6.486008333
30-01-2021,75.61305069,5.915858333
31-01-2021,66.36006131,5.639083333
01-02-2021,66.92499948,5.1473
02-02-2021,78.79142175,4.57085
03-02-2021,72.96728368,4.772283333
04-02-2021,63.08690837,5.075016667
05-02-2021,80.02004886,5.343283333
06-02-2021,62.85821532,5.711466667
07-02-2021,77.56261296,6.122858333
08-02-2021,77.06022752,5.025025
09-02-2021,68.22388346,4.547383333
10-02-2021,64.14147918,5.219116667
11-02-2021,63.86806783,4.648075
12-02-2021,70.57074642,4.957
13-02-2021,78.76293497,3.220425
14-02-2021,72.81963177,4.30625
15-02-2021,61.69717364,6.015591667
16-02-2021,74.94631074,6.209658333
17-02-2021,75.83144148,5.930958333
18-02-2021,65.74010327,5.744208333
19-02-2021,84.33412207,6.382258333
20-02-2021,76.00995922,5.880091667
21-02-2021,77.80130415,6.058016667
22-02-2021,76.21568108,5.221883333
23-02-2021,81.55455971,4.50345
24-02-2021,66.57206215,5.7723
25-02-2021,79.1301965,5.695466667
26-02-2021,62.73319882,5.393075
27-02-2021,71.44104176,5.281491667
28-02-2021,67.50866074,4.4688
01-03-2021,61.55919588,5.544483333
02-03-2021,65.85289818,5.541141667
03-03-2021,82.27337522,3.62395
04-03-2021,84.91011271,3.492116667
05-03-2021,64.10777168,2.394136241
06-03-2021,64.88061055,3.798924019
07-03-2021,75.19907414,2.735408262
08-03-2021,69.31458217,3.089371597
09-03-2021,72.33920476,3.055165786
10-03-2021,64.00159103,3.627878567
11-03-2021,76.61826401,4.539083967
12-03-2021,83.63222408,2.591562824
13-03-2021,80.61762338,5.292419368
14-03-2021,75.94527618,4.431024888
15-03-2021,76.2216018,5.883403687
16-03-2021,70.78168553,4.570410435
17-03-2021,75.73683378,2.253509217
18-03-2021,73.75455072,4.692892997
19-03-2021,73.13327469,3.644346039
20-03-2021,73.46585282,2.227714066
21-03-2021,61.18568999,5.552725485
22-03-2021,67.66042667,4.773650032
23-03-2021,80.58251206,4.13724155
24-03-2021,81.65893517,5.692629246
25-03-2021,77.53325058,4.949871427
26-03-2021,82.3602677,2.755736898
27-03-2021,69.51553523,4.155358975
28-03-2021,79.12584119,5.604047307
29-03-2021,62.95521726,5.142796085
30-03-2021,62.09502838,2.293150014
31-03-2021,76.89889967,3.053645955
01-04-2021,69.42506407,4.029908446
02-04-2021,64.49132957,3.486734001
03-04-2021,79.09037784,2.402452251
04-04-2021,62.37501073,5.544250301
05-04-2021,66.53188436,4.281675428
20-04-2021,81.18385924,3.316844593
21-04-2021,69.39032767,5.779133295
22-04-2021,83.12971089,2.546229425
23-04-2021,63.64662328,3.139226802
24-04-2021,80.40084625,3.038622696
25-04-2021,71.29094721,4.492467527
26-04-2021,74.64967213,5.732635684
27-04-2021,80.88077081,4.195066667
28-04-2021,78.81450146,4.877116667
29-04-2021,62.46706892,5.0684
30-04-2021,62.42248752,3.99225
01-05-2021,68.60522351,5.365591667
02-05-2021,80.86788128,2.611183333
03-05-2021,74.74476697,5.204808333
